Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,1423.0,1440.0,1407.0,1434.0,1212.81298828125,2288293
2014-01-02,1429.0,1432.0,1395.0,1395.0,1179.8287353515625,6010815
2014-01-05,1402.0,1404.0,1386.0,1393.0,1178.13720703125,1693525
2014-01-06,1392.0,1403.0,1384.0,1393.0,1178.13720703125,2954730
2014-01-07,1398.0,1416.0,1390.0,1416.0,1197.5894775390625,3382086
2014-01-08,1411.0,1421.0,1395.0,1396.0,1180.67431640625,2858561
2014-01-09,1382.0,1400.0,1382.0,1390.0,1175.5999755859375,3092338
2014-01-12,1390.0,1395.0,1387.0,1388.0,1173.908447265625,1208967
2014-01-13,1393.0,1406.0,1387.0,1401.0,1184.9034423828125,3464236
2014-01-14,1400.0,1400.0,1387.0,1390.0,1175.5999755859375,4853705
2014-01-15,1395.0,1404.0,1388.0,1394.0,1178.982666015625,3065539
2014-01-16,1394.0,1396.0,1381.0,1396.0,1180.67431640625,3451824
2014-01-19,1390.0,1396.0,1386.0,1386.0,1172.2166748046875,1412265
2014-01-20,1382.0,1391.0,1361.0,1362.0,1151.9188232421875,2729027
2014-01-21,1373.0,1375.0,1355.0,1365.0,1154.4560546875,2678573
2014-01-22,1373.0,1375.0,1355.0,1365.0,1154.4560546875,2678573
2014-01-23,1363.0,1370.0,1350.0,1350.0,1141.7694091796875,2995613
2014-01-26,1328.0,1335.0,1325.0,1325.0,1120.625732421875,2252510
2014-01-27,1328.0,1358.0,1317.0,1349.0,1140.9237060546875,2791368
2014-01-28,1350.0,1360.0,1327.0,1335.0,1129.083251953125,3338768
2014-01-29,1359.0,1376.0,1351.0,1355.0,1145.9986572265625,6031112
2014-01-30,1329.0,1364.0,1326.0,1344.0,1136.6949462890625,11174974
2014-02-02,1335.0,1337.0,1325.0,1326.0,1121.4715576171875,1937846
2014-02-03,1329.0,1330.0,1292.0,1304.0,1102.864990234375,6644498
2014-02-04,1284.0,1309.0,1277.0,1304.0,1102.864990234375,4270061
2014-02-05,1296.0,1312.0,1291.0,1300.0,1099.4820556640625,5803781
2014-02-06,1300.0,1310.0,1291.0,1310.0,1107.9395751953125,4647812
2014-02-09,1330.0,1335.0,1322.0,1326.0,1121.4715576171875,2440716
2014-02-10,1330.0,1335.0,1322.0,1326.0,1121.4715576171875,2440716
2014-02-11,1330.0,1345.0,1330.0,1338.0,1131.62060546875,2389963
2014-02-12,1349.0,1355.0,1342.0,1342.0,1135.0035400390625,2195673
2014-02-13,1329.0,1348.0,1328.0,1348.0,1140.0782470703125,1727087
2014-02-16,1359.0,1362.0,1346.0,1346.0,1138.3865966796875,1090060
2014-02-17,1345.0,1349.0,1338.0,1345.0,1137.5408935546875,1322020
2014-02-18,1347.0,1349.0,1332.0,1339.0,1132.46630859375,1648554
2014-02-19,1333.0,1336.0,1322.0,1322.0,1118.08837890625,1636520
2014-02-20,1317.0,1320.0,1304.0,1305.0,1103.710693359375,2757453
2014-02-23,1303.0,1305.0,1291.0,1291.0,1091.8702392578125,1404564
2014-02-24,1290.0,1313.0,1290.0,1313.0,1110.4766845703125,2994818
2014-02-25,1323.0,1328.0,1306.0,1311.0,1108.78515625,3311761
2014-02-26,1323.0,1328.0,1306.0,1311.0,1108.78515625,3311761
2014-02-27,1330.0,1332.0,1319.0,1331.0,1125.7001953125,10219385
2014-03-02,1325.0,1329.0,1320.0,1325.0,1120.625732421875,1774937
2014-03-03,1310.0,1312.0,1303.0,1311.0,1108.78515625,3007208
2014-03-04,1314.0,1329.0,1313.0,1327.0,1122.3172607421875,3722692
2014-03-05,1328.0,1338.0,1322.0,1334.0,1128.237548828125,2858102
2014-03-06,1338.0,1338.0,1329.0,1336.0,1129.9290771484375,3251649
2014-03-09,1335.0,1344.0,1329.0,1333.0,1127.391845703125,2227853
2014-03-10,1333.0,1349.0,1329.0,1349.0,1140.9237060546875,3239021
2014-03-11,1346.0,1357.0,1341.0,1347.0,1139.2325439453125,2398421
2014-03-12,1346.0,1351.0,1334.0,1346.0,1138.3865966796875,1477692
2014-03-13,1355.0,1356.0,1346.0,1351.0,1142.6153564453125,6254253
2014-03-17,1345.0,1349.0,1331.0,1331.0,1125.7001953125,2126841
2014-03-18,1331.0,1336.0,1324.0,1327.0,1122.3172607421875,1362418
2014-03-19,1327.0,1352.0,1327.0,1352.0,1143.461181640625,3555284
2014-03-20,1345.0,1364.0,1344.0,1359.0,1149.3814697265625,3814279
2014-03-23,1345.0,1379.0,1357.0,1379.0,1166.296630859375,2151075
2014-03-24,1381.0,1397.0,1375.0,1375.0,1162.9134521484375,3282354
2014-03-25,1378.0,1396.0,1377.0,1387.0,1173.0625,3253903
2014-03-26,1388.0,1394.0,1375.0,1385.0,1171.37109375,1683302
