Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,5520.0,5554.0,5471.0,5510.0,5510.0,125278
2019-01-02,5455.0,5490.0,5346.0,5483.0,5483.0,207693
2019-01-03,5416.0,5443.0,5258.0,5258.0,5258.0,305755
2019-01-06,5360.0,5367.0,5310.0,5311.0,5311.0,80132
2019-01-07,5311.0,5378.0,5271.0,5343.0,5343.0,131943
2019-01-08,5370.0,5392.0,5270.0,5356.0,5356.0,302601
2019-01-09,5366.0,5419.0,5307.0,5393.0,5393.0,285411
2019-01-10,5348.0,5375.0,5275.0,5375.0,5375.0,175382
2019-01-13,5470.0,5470.0,5430.0,5437.0,5437.0,96731
2019-01-14,5394.0,5411.0,5356.0,5410.0,5410.0,119993
2019-01-15,5403.0,5453.0,5350.0,5420.0,5420.0,150804
2019-01-16,5324.0,5423.0,5324.0,5377.0,5377.0,106447
2019-01-17,5318.0,5333.0,5165.0,5219.0,5219.0,274610
2019-01-20,5250.0,5296.0,5230.0,5230.0,5230.0,74256
2019-01-21,5230.0,5234.0,5190.0,5201.0,5201.0,63261
2019-01-22,5190.0,5338.0,5041.0,5071.0,5071.0,257880
2019-01-23,5071.0,5174.0,5071.0,5174.0,5174.0,149157
2019-01-24,5211.0,5349.0,5193.0,5282.0,5282.0,415094
2019-01-27,5388.0,5406.0,5337.0,5400.0,5400.0,82209
2019-01-28,5401.0,5483.0,5282.0,5410.0,5410.0,282756
2019-01-29,5410.0,5440.0,5305.0,5404.0,5404.0,131637
2019-01-30,5380.0,5382.0,5317.0,5369.0,5369.0,116810
2019-01-31,5446.0,5524.0,5382.0,5423.0,5423.0,255730
2019-02-03,5350.0,5364.0,5321.0,5335.0,5335.0,47081
2019-02-04,5326.0,5359.0,5200.0,5280.0,5280.0,178999
2019-02-05,5279.0,5370.0,5247.0,5354.0,5354.0,221448
2019-02-06,5304.0,5625.0,5265.0,5577.0,5577.0,201682
2019-02-07,5700.0,5754.0,5594.0,5662.0,5662.0,334493
2019-02-10,5690.0,5690.0,5580.0,5611.0,5611.0,41421
2019-02-11,5621.0,5735.0,5610.0,5674.0,5674.0,152675
2019-02-12,5750.0,5870.0,5728.0,5860.0,5860.0,136773
2019-02-13,5900.0,6025.0,5900.0,5936.0,5936.0,228886
2019-02-14,5840.0,5870.0,5711.0,5790.0,5790.0,209253
2019-02-17,5880.0,5920.0,5872.0,5898.0,5898.0,75004
2019-02-18,5888.0,5922.0,5831.0,5847.0,5847.0,122058
2019-02-19,5825.0,6600.0,5643.0,6600.0,6600.0,886158
2019-02-20,6509.0,6635.0,6387.0,6635.0,6635.0,448297
2019-02-21,6666.0,6887.0,6606.0,6760.0,6760.0,578150
2019-02-24,6760.0,6800.0,6681.0,6695.0,6695.0,48418
2019-02-25,6760.0,6869.0,6760.0,6785.0,6785.0,199535
2019-02-26,6700.0,6711.0,6632.0,6696.0,6696.0,135713
2019-02-27,6696.0,6696.0,6549.0,6559.0,6559.0,143061
2019-02-28,6611.0,6650.0,6501.0,6529.0,6529.0,483513
2019-03-03,6529.0,6575.0,6512.0,6534.0,6534.0,115421
2019-03-04,6534.0,6600.0,6450.0,6500.0,6500.0,247117
2019-03-05,6490.0,6522.0,6353.0,6368.0,6368.0,125023
2019-03-06,6362.0,6392.0,6210.0,6250.0,6250.0,136825
2019-03-07,6107.0,6174.0,5900.0,5950.0,5950.0,304620
2019-03-10,6010.0,6062.0,6000.0,6006.0,6006.0,50664
2019-03-11,6025.0,6177.0,6025.0,6144.0,6144.0,156579
2019-03-12,6200.0,6254.0,6100.0,6100.0,6100.0,210769
2019-03-13,6060.0,6178.0,6025.0,6177.0,6177.0,104222
2019-03-14,6043.0,6090.0,6002.0,6031.0,6031.0,191183
2019-03-17,5950.0,5950.0,5905.0,5939.0,5939.0,85986
2019-03-18,5939.0,5985.0,5875.0,5930.0,5930.0,300659
2019-03-19,5999.0,6129.0,5983.0,6060.0,6060.0,219563
2019-03-20,6108.0,6115.0,6011.0,6011.0,6011.0,173973
2019-03-21,6011.0,6011.0,6011.0,6011.0,6011.0,0
2019-03-24,6011.0,6029.0,5986.0,6000.0,6000.0,41762
2019-03-25,5983.0,6055.0,5834.0,5910.0,5910.0,210325
2019-03-26,5998.0,6228.0,5998.0,6130.0,6130.0,308051
2019-03-27,6220.0,6312.0,6186.0,6193.0,6193.0,240024
2019-03-28,6011.0,6070.0,5941.0,5950.0,5950.0,526420
2019-03-31,6023.0,6042.0,5966.0,5985.0,5985.0,70052
2019-04-01,6041.0,6146.0,6026.0,6140.0,6140.0,130478
2019-04-02,6168.0,6252.0,6152.0,6252.0,6252.0,119256
2019-04-03,6300.0,6447.0,6299.0,6447.0,6447.0,209347
