Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3250.0,3349.0,3220.0,3326.0,3326.0,12907
2019-01-02,3304.0,3359.0,3226.0,3260.0,3260.0,61046
2019-01-03,3231.0,3263.0,3199.0,3217.0,3217.0,1051360
2019-01-06,3217.0,3227.0,3140.0,3155.0,3155.0,19853
2019-01-07,3155.0,3155.0,3100.0,3107.0,3107.0,8452
2019-01-08,3107.0,3145.0,3040.0,3081.0,3081.0,25552
2019-01-09,3081.0,3134.0,3040.0,3047.0,3047.0,8279
2019-01-10,3047.0,3096.0,3000.0,3015.0,3015.0,33633
2019-01-13,3015.0,3026.0,3015.0,3017.0,3017.0,1293
2019-01-14,3017.0,3060.0,2986.0,3046.0,3046.0,5250
2019-01-15,3046.0,3125.0,3011.0,3101.0,3101.0,8958
2019-01-16,3101.0,3163.0,3020.0,3030.0,3030.0,40947
2019-01-17,3030.0,3061.0,3020.0,3032.0,3032.0,91429
2019-01-20,3032.0,3170.0,3062.0,3142.0,3142.0,27797
2019-01-21,3144.0,3152.0,3075.0,3092.0,3092.0,40173
2019-01-22,3094.0,3127.0,3050.0,3083.0,3083.0,40272
2019-01-23,3083.0,3108.0,3045.0,3091.0,3091.0,14707
2019-01-24,3091.0,3122.0,3035.0,3085.0,3085.0,165209
2019-01-27,3085.0,3133.0,3085.0,3105.0,3105.0,9331
2019-01-28,3130.0,3131.0,3036.0,3049.0,3049.0,44185
2019-01-29,3049.0,3090.0,3043.0,3075.0,3075.0,35364
2019-01-30,3075.0,3069.0,3000.0,3038.0,3038.0,33273
2019-01-31,3038.0,3076.0,3006.0,3014.0,3014.0,17012
2019-02-03,3016.0,3070.0,3014.0,3040.0,3040.0,16846
2019-02-04,3040.0,3034.0,2985.0,2997.0,2997.0,49129
2019-02-05,2997.0,3003.0,2968.0,2994.0,2994.0,39127
2019-02-06,2994.0,3140.0,2994.0,3082.0,3082.0,36601
2019-02-07,3149.0,3160.0,3080.0,3160.0,3160.0,2532184
2019-02-10,3115.0,3214.0,3115.0,3170.0,3170.0,38957
2019-02-11,3170.0,3189.0,3095.0,3144.0,3144.0,20235
2019-02-12,3144.0,3154.0,3115.0,3148.0,3148.0,17753
2019-02-13,3148.0,3180.0,3136.0,3162.0,3162.0,46285
2019-02-14,3180.0,3280.0,3160.0,3216.0,3216.0,61311
2019-02-17,3287.0,3300.0,3224.0,3270.0,3270.0,45172
2019-02-18,3269.0,3269.0,3165.0,3172.0,3172.0,250307
2019-02-19,3172.0,3207.0,3152.0,3183.0,3183.0,42670
2019-02-20,3183.0,3214.0,3170.0,3192.0,3192.0,22954
2019-02-21,3192.0,3192.0,3156.0,3169.0,3169.0,126324
2019-02-24,3200.0,3200.0,3167.0,3195.0,3195.0,20423
2019-02-25,3195.0,3195.0,3155.0,3161.0,3161.0,141503
2019-02-26,3134.0,3188.0,3134.0,3171.0,3171.0,35434
2019-02-27,3171.0,3251.0,3171.0,3221.0,3221.0,115650
2019-02-28,3240.0,3249.0,3207.0,3226.0,3226.0,99054
2019-03-03,3256.0,3319.0,3214.0,3286.0,3286.0,26876
2019-03-04,3335.0,3510.0,3335.0,3455.0,3455.0,258291
2019-03-05,3430.0,3519.0,3403.0,3420.0,3420.0,132114
2019-03-06,3420.0,3453.0,3401.0,3417.0,3417.0,99853
2019-03-07,3445.0,3562.0,3400.0,3562.0,3562.0,2979289
2019-03-10,3534.0,3580.0,3500.0,3530.0,3530.0,117557
2019-03-11,3530.0,3579.0,3500.0,3563.0,3563.0,65074
2019-03-12,3590.0,3615.0,3513.0,3565.0,3565.0,65568
2019-03-13,3551.0,3612.0,3502.0,3607.0,3607.0,55691
2019-03-14,3600.0,3810.0,3600.0,3810.0,3810.0,183656
2019-03-17,3988.0,4169.0,3947.0,4035.0,4035.0,169530
2019-03-18,4030.0,4030.0,3905.0,3905.0,3905.0,248682
2019-03-19,3900.0,3905.0,3792.0,3795.0,3795.0,480028
2019-03-20,3757.0,3824.0,3707.0,3715.0,3715.0,108834
2019-03-21,3715.0,3715.0,3715.0,3715.0,3715.0,0
2019-03-24,3675.0,3723.0,3675.0,3713.0,3713.0,11000
2019-03-25,3680.0,3748.0,3644.0,3646.0,3646.0,51142
2019-03-26,3660.0,3738.0,3632.0,3724.0,3724.0,76506
2019-03-27,3724.0,3790.0,3690.0,3790.0,3790.0,142142
2019-03-28,3740.0,3840.0,3740.0,3744.0,3744.0,265725
2019-03-31,3820.0,3820.0,3749.0,3790.0,3790.0,380049
2019-04-01,3790.0,3820.0,3750.0,3752.0,3752.0,86285
2019-04-02,3750.0,3752.0,3660.0,3683.0,3683.0,79734
2019-04-03,3725.0,3777.0,3690.0,3707.0,3707.0,89794
2019-04-04,3725.0,3740.0,3678.0,3678.0,3678.0,333306
2019-04-07,3631.0,3737.0,3612.0,3689.0,3689.0,48885
2019-04-08,3720.0,3750.0,3685.0,3738.0,3738.0,70934
2019-04-09,3738.0,3738.0,3738.0,3738.0,3738.0,0
2019-04-10,3772.0,3810.0,3740.0,3796.0,3796.0,69544
2019-04-11,3839.0,3839.0,3750.0,3768.0,3768.0,103426
2019-04-14,3813.0,3882.0,3775.0,3799.0,3799.0,82086
2019-04-15,4010.0,4152.0,4010.0,4035.0,4035.0,976351
2019-04-16,4076.0,4110.0,3930.0,3954.0,3954.0,466632
2019-04-17,3973.0,3997.0,3917.0,3922.0,3922.0,56781
2019-04-18,3949.0,3961.0,3917.0,3950.0,3950.0,123044
2019-04-21,3950.0,3987.0,3921.0,3949.0,3949.0,10560
2019-04-22,3980.0,3980.0,3918.0,3921.0,3921.0,20506
2019-04-23,3921.0,3930.0,3900.0,3918.0,3918.0,23133
2019-04-24,3939.0,3992.0,3901.0,3979.0,3979.0,515139
2019-04-25,3979.0,3979.0,3979.0,3979.0,3979.0,0
2019-04-28,3979.0,3999.0,3961.0,3989.0,3989.0,21717
2019-04-29,3941.0,3989.0,3891.0,3926.0,3926.0,50774
2019-04-30,3968.0,3976.0,3875.0,3908.0,3908.0,120312
2019-05-01,3965.0,3965.0,3899.0,3938.0,3938.0,35453
2019-05-02,3902.0,3974.0,3853.0,3890.0,3890.0,136506
2019-05-05,3900.0,3942.0,3898.0,3913.0,3913.0,16114
2019-05-06,3839.0,3877.0,3821.0,3848.0,3848.0,39800
2019-05-07,3853.0,3879.0,3804.0,3809.0,3809.0,84704
2019-05-08,3809.0,3809.0,3809.0,3809.0,3809.0,0
2019-05-09,3809.0,3809.0,3809.0,3809.0,3809.0,0
2019-05-12,3850.0,3860.0,3775.0,3828.0,3828.0,26180
2019-05-13,3828.0,3860.0,3782.0,3850.0,3850.0,65911
2019-05-14,3853.0,3853.0,3796.0,3802.0,3802.0,48590
2019-05-15,3802.0,3802.0,3802.0,3802.0,3802.0,0
2019-05-16,3774.0,3816.0,3707.0,3763.0,3763.0,71299
2019-05-19,3763.0,3763.0,3726.0,3727.0,3727.0,11844
2019-05-20,3709.0,3720.0,3632.0,3642.0,3642.0,61197
2019-05-21,3642.0,3642.0,3642.0,3642.0,3642.0,0
2019-05-22,3640.0,3705.0,3630.0,3690.0,3690.0,112834
2019-05-23,3690.0,3710.0,3616.0,3691.0,3691.0,163764
2019-05-26,3737.0,3766.0,3703.0,3763.0,3763.0,16862
2019-05-27,3763.0,3763.0,3680.0,3763.0,3763.0,46390
2019-05-28,3763.0,3763.0,3690.0,3738.0,3738.0,97453
2019-05-29,3738.0,3771.0,3709.0,3760.0,3760.0,49814
2019-05-30,3760.0,3760.0,3703.0,3708.0,3708.0,129918
2019-06-02,3708.0,3708.0,3594.0,3615.0,3615.0,17447
2019-06-03,3601.0,3697.0,3600.0,3613.0,3613.0,35487
2019-06-04,3610.0,3768.0,3610.0,3693.0,3693.0,27890
2019-06-05,3750.0,3829.0,3701.0,3777.0,3777.0,42112
2019-06-06,3795.0,3795.0,3702.0,3711.0,3711.0,118897
2019-06-09,3711.0,3711.0,3711.0,3711.0,3711.0,0
2019-06-10,3830.0,3838.0,3682.0,3732.0,3732.0,37817
2019-06-11,3832.0,3834.0,3756.0,3826.0,3826.0,50648
2019-06-12,3780.0,3833.0,3749.0,3808.0,3808.0,30788
2019-06-13,3771.0,3832.0,3750.0,3775.0,3775.0,56243
2019-06-16,3770.0,3884.0,3770.0,3861.0,3861.0,37218
2019-06-17,3898.0,3898.0,3833.0,3861.0,3861.0,40400
2019-06-18,3861.0,3917.0,3778.0,3913.0,3913.0,39338
2019-06-19,3927.0,3990.0,3870.0,3979.0,3979.0,42800
2019-06-20,4075.0,4075.0,3914.0,3937.0,3937.0,111570
2019-06-23,3937.0,3938.0,3872.0,3905.0,3905.0,12039
2019-06-24,3939.0,3939.0,3846.0,3855.0,3855.0,21613
2019-06-25,3852.0,3969.0,3807.0,3951.0,3951.0,60313
2019-06-26,3900.0,4017.0,3866.0,3978.0,3978.0,53407
2019-06-27,3900.0,3920.0,3778.0,3788.0,3788.0,283291
2019-06-30,3840.0,3877.0,3804.0,3841.0,3841.0,38982
2019-07-01,3841.0,3891.0,3791.0,3795.0,3795.0,20343
2019-07-02,3778.0,3794.0,3711.0,3715.0,3715.0,48100
2019-07-03,3720.0,3768.0,3703.0,3739.0,3739.0,36175
2019-07-04,3652.0,4471.0,3645.0,4450.0,4450.0,1733322
2019-07-07,4550.0,4850.0,4487.0,4655.0,4655.0,252779
2019-07-08,4590.0,4590.0,4418.0,4418.0,4418.0,257653
2019-07-09,4417.0,4509.0,4415.0,4489.0,4489.0,110800
2019-07-10,4436.0,4646.0,4436.0,4590.0,4590.0,99107
2019-07-11,4590.0,4590.0,4429.0,4450.0,4450.0,146492
2019-07-14,4515.0,4564.0,4499.0,4548.0,4548.0,41953
2019-07-15,4570.0,4570.0,4450.0,4456.0,4456.0,175968
2019-07-16,4456.0,4456.0,4401.0,4401.0,4401.0,131730
2019-07-17,4400.0,4400.0,4351.0,4351.0,4351.0,77697
2019-07-18,4329.0,4390.0,4318.0,4320.0,4320.0,94738
