,ASHG.TA,BEZQ.TA,ENOG.TA,ESLT.TA,ICL.TA,LUMI.TA,Returns,Volatility
0,0.0,0.0,0.0,0.0,0.0,1.0,0.013,0.016
1,0.0,0.289,0.0,0.022,0.044,0.645,0.016,0.014
2,0.0,0.261,0.0,0.098,0.054,0.587,0.019,0.013
3,0.0,0.244,0.0,0.17,0.068,0.519,0.022,0.012
4,0.0,0.231,0.0,0.239,0.084,0.445,0.024,0.012
5,0.003,0.213,0.0,0.303,0.102,0.378,0.027,0.012
6,0.03,0.204,0.0,0.328,0.126,0.312,0.03,0.012
7,0.063,0.192,0.0,0.354,0.133,0.259,0.033,0.012
8,0.096,0.179,0.0,0.38,0.14,0.206,0.036,0.012
9,0.13,0.165,0.0,0.406,0.146,0.154,0.038,0.012
10,0.163,0.15,0.0,0.432,0.151,0.102,0.041,0.013
11,0.194,0.136,0.005,0.458,0.156,0.051,0.044,0.013
12,0.225,0.12,0.009,0.484,0.161,0.001,0.047,0.014
13,0.266,0.062,0.011,0.516,0.144,0.0,0.049,0.014
14,0.307,0.004,0.016,0.545,0.128,0.0,0.052,0.015
15,0.385,0.0,0.032,0.561,0.022,0.0,0.055,0.016
16,0.529,0.0,0.023,0.448,0.0,0.0,0.058,0.018
17,0.687,0.0,0.012,0.3,0.0,0.0,0.06,0.02
18,0.845,0.0,0.001,0.153,0.0,0.0,0.063,0.023
19,1.0,0.0,0.0,0.0,0.0,0.0,0.066,0.026
